"id_usuario","id_pedido","restaurante","valor","status","data_registro","data_pedido"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","400886403","La Bottega De'll Arte","41.6","CONCLUDED","2018-08-24","2019-01-11"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","488824783","Boali - Shopping Flamboyant","23.0","CONCLUDED","2018-08-24","2019-03-05"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","471228254","Zoto Burger","35.0","CONCLUDED","2018-08-24","2019-02-23"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","491048968","Boali - Shopping Flamboyant","33.0","CONCLUDED","2018-08-24","2019-03-06"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","279500510","Artesano Pizza E Pesto","38.0","CONCLUDED","2018-08-24","2018-08-26"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","436067708","Crema & Cioccolato - Alto Da Gloria","46.0","CONCLUDED","2018-08-24","2019-02-03"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1523368561","Bao Acai - T3","36.0","CONCLUDED","2018-08-24","2020-02-12"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","516932300","La Bottega De'll Arte","45.8","CONCLUDED","2018-08-24","2019-03-21"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1527257826","Bao Acai - T3","36.0","CONCLUDED","2018-08-24","2020-02-13"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1973651341","Loop Goiania St. Sul","1.0","CONCLUDED","2018-08-24","2020-06-22"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2003483580","Duarte Salgados","29.99","CONCLUDED","2018-08-24","2020-06-30"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2276151493","Restaurante  Brito","22.0","CONCLUDED","2018-08-24","2020-09-16"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1706139258","Bao Acai & Hamburgueria - T3","36.0","CONCLUDED","2018-08-24","2020-03-31"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1583859315","Bao Acai - T3","40.0","CONCLUDED","2018-08-24","2020-02-28"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1608138038","Bao Acai & Hamburgueria - T3","36.0","CONCLUDED","2018-08-24","2020-03-08"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1118366180","Subway - Monte Libano","41.3","CONCLUDED","2018-08-24","2019-10-31"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1462157733","Bao Acai - T3","36.0","CONCLUDED","2018-08-24","2020-01-23"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1487207032","Artesano Pizza E Pesto","44.0","CONCLUDED","2018-08-24","2020-02-01"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1483206859","Bao Acai - T3","36.0","CONCLUDED","2018-08-24","2020-01-31"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2174696455"," Prato Feito & Marmitex","30.0","CONCLUDED","2018-08-24","2020-08-18"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1104064542","Restaurante Smilinguido","30.0","CONCLUDED","2018-08-24","2019-10-28"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2730995011","Bao Acai 1","33.0","CONCLUDED","2018-08-24","2021-01-02"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2205397345","Restaurante  Brito ","22.0","CONCLUDED","2018-08-24","2020-08-27"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1538782571","Bao Acai - T3","36.0","CONCLUDED","2018-08-24","2020-02-16"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2324757042","Pamonharia Frutos Da Terra- Nova Suica","49.5","CONCLUDED","2018-08-24","2020-09-30"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1873110311","Bao Acai & Hamburgueria - T3","36.0","CONCLUDED","2018-08-24","2020-05-22"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1239428574","Restaurante Smilinguido","30.0","CONCLUDED","2018-08-24","2019-11-29"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2441464589","Restaurante China Delivery","22.49","CONCLUDED","2018-08-24","2020-11-03"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1652867903","Bao Acai & Hamburgueria - T3","40.0","CONCLUDED","2018-08-24","2020-03-19"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2103145955","Vivi Restaurante","16.4","CONCLUDED","2018-08-24","2020-07-27"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1490446208","Bao Acai - T3","36.0","CONCLUDED","2018-08-24","2020-02-02"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2764521721","Bao Acai 1","46.0","CONCLUDED","2018-08-24","2021-01-11"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2032470111","Restaurante  Brito ","20.0","CONCLUDED","2018-08-24","2020-07-07"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2520073634","Pastelaria Akira","22.0","CONCLUDED","2018-08-24","2020-11-21"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2516790160","Sanduway Sanduicheria","24.33","CONCLUDED","2018-08-24","2020-11-21"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2225770523","Baraunas Restaurante.","14.99","CONCLUDED","2018-08-24","2020-09-02"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2459145486","Vl Restaurante E Jantinha","23.97","CONCLUDED","2018-08-24","2020-11-07"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1909129727","Bao Acai & Hamburgueria - T3","36.0","CONCLUDED","2018-08-24","2020-06-04"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1878015783","Pastel Goiano","45.99","CONCLUDED","2018-08-24","2020-05-24"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","654521944","Acai Concept - Bougainville","29.8","CONCLUDED","2018-08-24","2019-05-25"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1596360856","Restaurante Smilinguido","30.0","CONCLUDED","2018-08-24","2020-03-04"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2416000430","Restaurante Keromais","27.8","CONCLUDED","2018-08-24","2020-10-28"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2514349079","Restaurante Keromais","23.8","CONCLUDED","2018-08-24","2020-11-20"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1761097810","La Fruta Acai - Goiania Sul","37.9","CONCLUDED","2018-08-24","2020-04-19"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1809111962","Bao Acai & Hamburgueria - T3","36.0","CONCLUDED","2018-08-24","2020-05-03"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2035911072","Gelateria Crema E Cioccolato - T11","43.89","CONCLUDED","2018-08-24","2020-07-08"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2794177780","Portela Bolos E Doces - Marista","36.0","CONCLUDED","2018-08-24","2021-01-19"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2283261584","Point Dos Espetos","15.0","CONCLUDED","2018-08-24","2020-09-18"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","1503668826","Bao Acai - T3","36.0","CONCLUDED","2018-08-24","2020-02-07"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2372979555","Lanchonete E Restaurante Sophia","23.96","CONCLUDED","2018-08-24","2020-10-15"
"a0e5bff0-5dee-4ac4-bc35-e03ccd0499da","2144977797","Simbora Restaurante 24h - St. Pedro","29.9","CONCLUDED","2018-08-24","2020-08-09"
